"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
105,07/13/16 04:00:00 PM,1.26557,16.725,,,
106,07/13/16 04:15:00 PM,1.26435,16.630,,,
107,07/13/16 04:30:00 PM,1.26435,16.558,,,
108,07/13/16 04:45:00 PM,1.26435,16.630,,,
109,07/13/16 05:00:00 PM,1.26496,16.868,,,
110,07/13/16 05:15:00 PM,1.26435,16.892,,,
111,07/13/16 05:30:00 PM,1.26374,16.796,,,
112,07/13/16 05:45:00 PM,1.26313,16.725,,,
113,07/13/16 06:00:00 PM,1.26313,16.701,,,
114,07/13/16 06:15:00 PM,1.26313,16.701,,,
115,07/13/16 06:30:00 PM,1.26252,16.701,,,
116,07/13/16 06:45:00 PM,1.26252,16.654,,,
117,07/13/16 07:00:00 PM,1.26313,16.630,,,
118,07/13/16 07:15:00 PM,1.26252,16.582,,,
119,07/13/16 07:30:00 PM,1.26313,16.487,,,
120,07/13/16 07:45:00 PM,1.26129,16.415,,,
121,07/13/16 08:00:00 PM,1.26129,16.320,,,
122,07/13/16 08:15:00 PM,1.26068,16.225,,,
123,07/13/16 08:30:00 PM,1.26068,16.129,,,
124,07/13/16 08:45:00 PM,1.26007,16.058,,,
125,07/13/16 09:00:00 PM,1.26007,15.939,,,
126,07/13/16 09:15:00 PM,1.25946,15.843,,,
127,07/13/16 09:30:00 PM,1.25824,15.748,,,
128,07/13/16 09:45:00 PM,1.25763,15.676,,,
129,07/13/16 10:00:00 PM,1.25702,15.605,,,
130,07/13/16 10:15:00 PM,1.25641,15.509,,,
131,07/13/16 10:30:00 PM,1.25641,15.390,,,
132,07/13/16 10:45:00 PM,1.25519,15.294,,,
133,07/13/16 11:00:00 PM,1.25336,15.223,,,
134,07/13/16 11:15:00 PM,1.25275,15.151,,,
135,07/13/16 11:30:00 PM,1.25275,15.031,,,
136,07/13/16 11:45:00 PM,1.25214,14.936,,,
