,date,t1,t2,t3,t4
909,2022-03-13 01:30:00,8.567222222222222,8.679781355218909,,8.24
910,2022-03-13 01:45:00,8.558888888888887,8.679489478114535,,8.241111111111113
911,2022-03-13 02:00:00,8.551111111111112,8.678890151515205,,8.24277777777778
912,2022-03-13 02:15:00,8.54277777777778,8.67815277777783,,8.243888888888888
913,2022-03-13 02:30:00,8.535,8.677313762626314,,8.246111111111112
914,2022-03-13 02:45:00,8.527777777777779,8.676225378787933,,8.247777777777776
915,2022-03-13 03:00:00,8.52111111111111,8.67487920875426,,8.248888888888889
916,2022-03-13 03:15:00,8.513888888888891,8.673598063973115,,8.25111111111111
917,2022-03-13 03:30:00,8.50611111111111,8.672048611111165,,8.25222222222222
918,2022-03-13 03:45:00,8.497222222222224,8.670346380471432,,8.253888888888888
919,2022-03-13 04:00:00,8.48611111111111,8.668496212121262,,8.255
920,2022-03-13 04:15:00,8.472777777777777,8.666500841750894,,8.255
921,2022-03-13 04:30:00,8.458888888888888,8.664298611111164,,8.257222222222222
922,2022-03-13 04:45:00,8.443888888888887,8.661687079124633,,8.257777777777775
923,2022-03-13 05:00:00,8.42722222222222,8.658880471380524,,8.260000000000002
924,2022-03-13 05:15:00,8.40888888888889,8.655827651515203,,8.262222222222222
925,2022-03-13 05:30:00,8.39111111111111,8.652371001683555,,8.262777777777776
926,2022-03-13 05:45:00,8.372222222222222,8.64857070707076,,8.265
927,2022-03-13 06:00:00,8.352222222222222,8.644420454545509,,8.26611111111111
928,2022-03-13 06:15:00,8.33222222222222,8.63964309764315,,8.267777777777777
929,2022-03-13 06:30:00,8.311111111111112,8.635578703703755,,8.267777777777777
930,2022-03-13 06:45:00,8.29111111111111,8.63166203703709,,8.268888888888888
931,2022-03-13 07:00:00,8.271111111111109,8.626142466330018,,8.271111111111109
932,2022-03-13 07:15:00,8.25222222222222,8.61968097643103,,8.272222222222222
933,2022-03-13 07:30:00,8.233888888888888,8.612938131313184,,8.273888888888889
934,2022-03-13 07:45:00,8.215,8.605915404040458,,8.27611111111111
935,2022-03-13 08:00:00,8.19888888888889,8.599203703703756,,8.277222222222223
936,2022-03-13 08:15:00,8.184999999999999,8.591718855218907,,8.277222222222223
937,2022-03-13 08:30:00,8.17388888888889,8.583529882154936,,8.27888888888889
938,2022-03-13 08:45:00,8.165000000000001,8.57493560606066,,8.277222222222223
939,2022-03-13 09:00:00,8.162222222222223,8.565985479798034,,8.280000000000001
940,2022-03-13 09:15:00,8.165000000000001,8.556841750841803,,8.282777777777778
941,2022-03-13 09:30:00,8.17111111111111,8.547837542087592,,8.284999999999998
942,2022-03-13 09:45:00,8.182222222222222,8.539190446127998,,8.284999999999998
943,2022-03-13 10:00:00,8.196111111111112,8.531030513468068,,8.27611111111111
944,2022-03-13 10:15:00,8.21222222222222,8.523691498316552,,8.273888888888889
945,2022-03-13 10:30:00,8.223888888888887,8.517341119528671,,8.272222222222222
946,2022-03-13 10:45:00,8.241111111111113,8.512267466330018,,8.272222222222222
947,2022-03-13 11:00:00,8.257777777777775,8.508393728956282,,8.273888888888889
948,2022-03-13 11:15:00,8.27611111111111,8.506451388888943,,8.27611111111111
949,2022-03-13 11:30:00,8.292777777777777,8.504615319865374,,8.277222222222223
950,2022-03-13 11:45:00,8.307222222222224,8.502561868686922,,8.27888888888889
951,2022-03-13 12:00:00,8.318888888888887,8.502020622895675,,8.27888888888889
952,2022-03-13 12:15:00,8.33,8.502755260942815,,8.280000000000001
953,2022-03-13 12:30:00,8.337777777777779,8.50411805555561,,8.282222222222222
954,2022-03-13 12:45:00,8.347222222222221,8.506211069023621,,8.282777777777778
955,2022-03-13 13:00:00,8.352777777777776,8.507997264309818,,8.282222222222222
956,2022-03-13 13:15:00,8.361111111111109,8.509793981481534,,8.282222222222222
957,2022-03-13 13:30:00,8.368888888888888,8.511968013468065,,8.282777777777778
958,2022-03-13 13:45:00,8.38,8.51425799663305,,8.282777777777778
959,2022-03-13 14:00:00,8.39111111111111,8.516673611111164,,8.284999999999998
960,2022-03-13 14:15:00,8.405,8.519285563973115,,8.284999999999998
961,2022-03-13 14:30:00,8.417222222222223,8.522016835016888,,8.28611111111111
962,2022-03-13 14:45:00,8.431111111111113,8.525044612794664,,8.28611111111111
963,2022-03-13 15:00:00,8.447222222222221,8.528434764309816,,8.287777777777777
964,2022-03-13 15:15:00,8.463888888888889,8.53209069865325,,8.287777777777777
965,2022-03-13 15:30:00,8.48111111111111,8.536132154882207,,8.287777777777777
966,2022-03-13 15:45:00,8.497777777777777,8.540303451178502,,8.287777777777777
967,2022-03-13 16:00:00,8.514999999999999,8.544741792929347,,8.287777777777777
968,2022-03-13 16:15:00,8.53222222222222,8.549334385521938,,8.287777777777777
