,date,charge_diff,t_stream
0,2022-03-03 14:15:00,-0.0532825582299794,8.97611111111111
1,2022-03-03 14:30:00,-0.0530680346982486,9.042777777777776
2,2022-03-03 14:45:00,-0.052861017319823,9.088888888888889
3,2022-03-03 15:00:00,-0.0526100462163835,9.122777777777776
4,2022-03-03 15:15:00,-0.0524857504102206,9.158888888888889
5,2022-03-03 15:30:00,-0.0525942408526193,9.202222222222222
6,2022-03-03 15:45:00,-0.0527368389858503,9.242222222222225
7,2022-03-03 16:00:00,-0.0528167419181267,9.283888888888889
8,2022-03-03 16:15:00,-0.0529896844766231,9.31611111111111
9,2022-03-03 16:30:00,-0.053357979638154,9.345
10,2022-03-03 16:45:00,-0.0534200052742619,9.37222222222222
11,2022-03-03 17:00:00,-0.0534003997250994,9.395
12,2022-03-03 17:15:00,-0.0534781117344332,9.42111111111111
13,2022-03-03 17:30:00,-0.0534654311042922,9.44888888888889
14,2022-03-03 17:45:00,-0.0533474036248565,9.468888888888888
15,2022-03-03 18:00:00,-0.0531522748316501,9.483888888888888
16,2022-03-03 18:15:00,-0.0532267986031201,9.497777777777776
17,2022-03-03 18:30:00,-0.0527985381504926,9.507222222222222
18,2022-03-03 18:45:00,-0.0523336210203302,9.515
19,2022-03-03 19:00:00,-0.0519229436506417,9.52
20,2022-03-03 19:15:00,-0.0514232691098754,9.523888888888887
21,2022-03-03 19:30:00,-0.0509305174636665,9.523888888888887
22,2022-03-03 19:45:00,-0.0506298254965267,9.523888888888887
23,2022-03-03 20:00:00,-0.0504358733164986,9.521111111111107
24,2022-03-03 20:15:00,-0.0500913600669142,9.521111111111107
25,2022-03-03 20:30:00,-0.0498668774240296,9.51722222222222
26,2022-03-03 20:45:00,-0.0496311184364747,9.512222222222222
27,2022-03-03 21:00:00,-0.0493581920736908,9.506111111111109
28,2022-03-03 21:15:00,-0.0490257239589996,9.497777777777776
29,2022-03-03 21:30:00,-0.0488289709595963,9.488888888888887
30,2022-03-03 21:45:00,-0.0485846606891705,9.468888888888888
31,2022-03-03 22:00:00,-0.0482836439820145,9.432222222222222
32,2022-03-03 22:15:00,-0.0480941489259688,9.38722222222222
33,2022-03-03 22:30:00,-0.0478532621574397,9.34888888888889
34,2022-03-03 22:45:00,-0.0475326517815286,9.324999999999998
35,2022-03-03 23:00:00,-0.0473711905713253,9.303888888888888
36,2022-03-03 23:15:00,-0.0467827185089292,9.285
37,2022-03-03 23:30:00,-0.046479228199719,9.26722222222222
38,2022-03-03 23:45:00,-0.0462133297372461,9.249999999999998
39,2022-03-04 00:00:00,-0.0458565453320124,9.23388888888889
40,2022-03-04 00:15:00,-0.0457728469824833,9.21888888888889
41,2022-03-04 00:30:00,-0.0456635321570134,9.205000000000002
42,2022-03-04 00:45:00,-0.0454978170950009,9.186111111111108
43,2022-03-04 01:00:00,-0.0452583352512469,9.16777777777778
44,2022-03-04 01:15:00,-0.045344843050761,9.14888888888889
45,2022-03-04 01:30:00,-0.0451838172335169,9.12888888888889
46,2022-03-04 01:45:00,-0.0450472866055068,9.10888888888889
47,2022-03-04 02:00:00,-0.0450854137098839,9.09111111111111
48,2022-03-04 02:15:00,-0.0452621310947026,9.073888888888888
49,2022-03-04 02:30:00,-0.045340323168393,9.05222222222222
50,2022-03-04 02:45:00,-0.0452894994246263,9.036111111111111
51,2022-03-04 03:00:00,-0.0453882400747989,9.022222222222224
52,2022-03-04 03:15:00,-0.045234485839407,9.005
53,2022-03-04 03:30:00,-0.0451581507053662,8.987777777777776
54,2022-03-04 03:45:00,-0.0450183774187021,8.972777777777779
55,2022-03-04 04:00:00,-0.0448453095298984,8.95722222222222
56,2022-03-04 04:15:00,-0.0447790175222694,8.94222222222222
57,2022-03-04 04:30:00,-0.0445435197971277,8.92611111111111
58,2022-03-04 04:45:00,-0.0442343968695395,8.908888888888889
59,2022-03-04 05:00:00,-0.0440828552401656,8.88888888888889
60,2022-03-04 05:15:00,-0.0436794432723866,8.86777777777778
61,2022-03-04 05:30:00,-0.0431953666410948,8.848888888888887
62,2022-03-04 05:45:00,-0.0428156198322894,8.829999999999998
63,2022-03-04 06:00:00,-0.0425108268071008,8.797777777777776
64,2022-03-04 06:15:00,-0.0420692074223248,8.763888888888888
65,2022-03-04 06:30:00,-0.0417851502898183,8.733888888888886
66,2022-03-04 06:45:00,-0.0415453965285772,8.706111111111111
67,2022-03-04 07:00:00,-0.0412057036610837,8.675
68,2022-03-04 07:15:00,-0.0409424551421389,8.642777777777779
69,2022-03-04 07:30:00,-0.040421034474492,8.617777777777778
70,2022-03-04 07:45:00,-0.0400253224225379,8.594999999999997
71,2022-03-04 08:00:00,-0.0395316795593064,8.57111111111111
72,2022-03-04 08:15:00,-0.039149853785748,8.551111111111112
73,2022-03-04 08:30:00,-0.0388008672697441,8.531111111111112
74,2022-03-04 08:45:00,-0.0386371990207989,8.52
75,2022-03-04 09:00:00,-0.0384464249829521,8.514999999999999
76,2022-03-04 09:15:00,-0.0381482504634959,8.512222222222224
77,2022-03-04 09:30:00,-0.0379887515982613,8.517222222222223
78,2022-03-04 09:45:00,-0.0378711203810257,8.52
79,2022-03-04 10:00:00,-0.0377633957187915,8.535
80,2022-03-04 10:15:00,-0.0377300111611902,8.567222222222222
81,2022-03-04 10:30:00,-0.0378699850296213,8.59111111111111
82,2022-03-04 10:45:00,-0.0379882161541578,8.616111111111111
83,2022-03-04 11:00:00,-0.0382784123407068,8.642777777777779
84,2022-03-04 11:15:00,-0.0387124142532926,8.680000000000001
