Titre de tracé : T46,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)",Hôte connecté (LGR S/N: 10117166),Arrêté (LGR S/N: 10117166),Fin de fichier (LGR S/N: 10117166)
68,28/08/2019 06:45,32.09008846,32.0451398,20.38529163,15.457,,,
69,28/08/2019 07:00,32.06780466,31.88940164,20.34568801,15.445,,,
70,28/08/2019 07:15,32.04777347,31.8443784,20.30642741,15.435,,,
71,28/08/2019 07:30,32.03025368,31.79980443,20.26751888,15.424,,,
72,28/08/2019 07:45,32.01503301,31.75571231,20.22897336,15.417,,,
73,28/08/2019 08:00,32.00208455,31.71213153,20.19080321,15.409,,,
74,28/08/2019 08:15,31.99156598,31.66909021,20.15302166,15.403,,,
75,28/08/2019 08:30,31.9834281,31.62661765,20.11564375,15.4,,,
76,28/08/2019 08:45,31.97744508,31.5847452,20.07868738,15.399,,,
77,28/08/2019 09:00,31.97350451,31.54350573,20.04217184,15.397,,,
78,28/08/2019 09:15,31.97153498,31.502932,20.00611758,15.399,,,
79,28/08/2019 09:30,31.97157885,31.46305551,19.97054635,15.402,,,
80,28/08/2019 09:45,31.97347304,31.42390585,19.93548053,15.406,,,
81,28/08/2019 10:00,31.97704808,31.38551051,19.90094285,15.412,,,
82,28/08/2019 10:15,31.98212771,31.34789457,19.86695648,15.42,,,
83,28/08/2019 10:30,30.32350526,31.31108124,19.83354485,15.429,,,
84,28/08/2019 10:45,28.33146871,31.2750915,19.80073083,15.439,,,
85,28/08/2019 11:00,26.34075189,31.23994329,19.76853669,15.451,,,
86,28/08/2019 11:15,25.35128349,31.20565145,19.73698448,15.465,,,
87,28/08/2019 11:30,24.36281108,31.17222747,19.70609615,15.48,,,
88,28/08/2019 11:45,23.37519474,31.13968034,19.67589231,15.495,,,
89,28/08/2019 12:00,23.38803643,31.10801717,19.64639123,15.511,,,
90,28/08/2019 12:15,23.40067989,31.07724194,19.61760983,15.53,,,
91,28/08/2019 12:30,23.4124804,31.04735319,19.58956408,15.549,,,
92,28/08/2019 12:45,23.42305742,31.01834234,19.5622688,15.569,,,
93,28/08/2019 13:00,23.43235741,30.9901935,19.53573619,15.588,,,
94,28/08/2019 13:15,23.4404993,30.96288482,19.50997558,15.609,,,
95,28/08/2019 13:30,23.44743986,30.93639007,19.48499308,15.629,,,
96,28/08/2019 13:45,23.45305705,30.91068028,19.46079179,15.65,,,
97,28/08/2019 14:00,23.45719723,30.88572543,19.4373709,15.669,,,
98,28/08/2019 14:15,23.45963893,30.86149481,19.41472465,15.687,,,
99,28/08/2019 14:30,23.46020676,30.83795582,19.39284367,15.707,,,
100,28/08/2019 14:45,23.4589111,30.81507279,19.37171584,15.725,,,
101,28/08/2019 15:00,23.45584323,30.79280684,19.35132612,15.742,,,
102,28/08/2019 15:15,23.45106926,30.77111688,19.33165628,15.758,,,
103,28/08/2019 15:30,23.44463727,30.74996114,19.31268491,15.773,,,
104,28/08/2019 15:45,23.43651728,30.72929795,19.29438781,15.787,,,
105,28/08/2019 16:00,23.42671502,30.70908597,19.27673847,15.8,,,
106,28/08/2019 16:15,23.41526416,30.68928413,19.25970863,15.812,,,
107,28/08/2019 16:30,23.40231657,30.66985256,19.24326875,15.823,,,
108,28/08/2019 16:45,23.38791094,30.65075334,19.22738846,15.833,,,
109,28/08/2019 17:00,23.37202076,30.63195036,19.21203681,15.842,,,
110,28/08/2019 17:15,23.35468343,30.61340891,19.19718261,15.85,,,
111,28/08/2019 17:30,23.33594626,30.59509537,19.18279398,15.856,,,
112,28/08/2019 17:45,23.31590538,30.57697731,19.16883877,15.862,,,
113,28/08/2019 18:00,23.29461618,30.5590234,19.1552846,15.866,,,
114,28/08/2019 18:15,23.27216316,30.54120342,19.14209886,15.869,,,
115,28/08/2019 18:30,23.24867299,30.52348854,19.12924893,15.871,,,
116,28/08/2019 18:45,23.22429259,30.50585182,19.1167025,15.872,,,
117,28/08/2019 19:00,23.19918733,30.48826875,19.10442789,15.872,,,
118,28/08/2019 19:15,23.17347115,30.47071709,19.09239422,15.871,,,
119,28/08/2019 19:30,23.14737091,30.4531772,19.0805715,15.869,,,
120,28/08/2019 19:45,23.12115278,30.43563343,19.06893065,15.866,,,
121,28/08/2019 20:00,23.0949428,30.41807528,19.05744405,15.863,,,
122,28/08/2019 20:15,23.0687298,30.40049701,19.04608597,15.859,,,
123,28/08/2019 20:30,23.04242601,30.38289564,19.03483234,15.854,,,
124,28/08/2019 20:45,23.01651052,30.36527248,19.02366153,15.85,,,
125,28/08/2019 21:00,22.99119291,30.3476353,19.01255408,15.844,,,
126,28/08/2019 21:15,22.96631317,30.32999707,19.00149241,15.838,,,
127,28/08/2019 21:30,22.94158852,30.31237153,18.990461,15.832,,,
128,28/08/2019 21:45,22.91685446,30.29476904,18.97944562,15.824,,,
129,28/08/2019 22:00,22.89193819,30.27719386,18.96843403,15.818,,,
130,28/08/2019 22:15,22.8669289,30.25964489,18.95741635,15.811,,,
131,28/08/2019 22:30,22.84197309,30.24211879,18.94638371,15.802,,,
132,28/08/2019 22:45,22.81702432,30.22461233,18.93532779,15.794,,,
133,28/08/2019 23:00,22.79195997,30.20712215,18.92424186,15.787,,,
134,28/08/2019 23:15,22.76667455,30.18964326,18.91312042,15.778,,,
135,28/08/2019 23:30,22.74124457,30.17216832,18.90195837,15.769,,,
136,28/08/2019 23:45,22.71580228,30.15468853,18.89075081,15.76,,,
137,29/08/2019 00:00,22.69037881,30.13719468,18.87949194,15.749,,,
138,29/08/2019 00:15,22.66489335,30.11967705,18.86817591,15.74,,,
139,29/08/2019 00:30,22.6394193,30.10212604,18.85679738,15.73,,,
140,29/08/2019 00:45,22.61402555,25.08453346,18.84535227,15.721,,,
141,29/08/2019 01:00,22.58878601,25.06689388,18.83383702,15.71,,,
142,29/08/2019 01:15,22.56370659,25.04920527,18.82224821,15.7,,,
143,29/08/2019 01:30,22.53873034,25.03146817,18.81058229,15.689,,,
144,29/08/2019 01:45,22.51387718,25.01368466,18.79883555,15.678,,,
145,29/08/2019 02:00,22.48922341,24.99585792,18.78700378,15.666,,,
146,29/08/2019 02:15,22.46465573,24.97799098,18.77508349,15.656,,,
147,29/08/2019 02:30,22.44022257,24.96008602,18.76307191,15.644,,,
148,29/08/2019 02:45,22.41590074,24.94214391,18.75096704,15.633,,,
149,29/08/2019 03:00,22.39178077,24.92416448,18.73876727,15.621,,,
150,29/08/2019 03:15,22.36801243,24.90614765,18.72647098,15.609,,,
151,29/08/2019 03:30,22.34482078,24.88809538,18.71407782,15.599,,,
152,29/08/2019 03:45,22.32232651,24.87001309,18.70158841,15.587,,,
153,29/08/2019 04:00,22.3006192,24.85191015,18.68900353,15.575,,,
154,29/08/2019 04:15,22.27980356,24.83379966,18.67632375,15.563,,,
155,29/08/2019 04:30,22.25993405,24.81569743,18.66355018,15.552,,,
156,29/08/2019 04:45,22.2410084,24.79761997,18.65068456,15.54,,,
157,29/08/2019 05:00,22.22326723,24.77958424,18.63773019,15.53,,,
158,29/08/2019 05:15,22.20691209,24.76160861,18.62469188,15.519,,,
159,29/08/2019 05:30,22.19208961,24.74371311,18.61157531,15.508,,,
160,29/08/2019 05:45,22.17898772,24.7259191,18.59838696,15.498,,,
161,29/08/2019 06:00,22.16750491,24.70824816,18.58513484,15.489,,,
162,29/08/2019 06:15,22.15745533,24.69072117,18.57182848,15.48,,,
163,29/08/2019 06:30,22.14864644,24.67335809,18.55847895,15.472,,,
164,29/08/2019 06:45,22.14088149,24.65617785,18.54509893,15.465,,,
165,29/08/2019 07:00,22.13405072,24.63919767,18.53170278,15.459,,,
166,29/08/2019 07:15,22.1282436,24.62243223,18.51830652,15.454,,,
167,29/08/2019 07:30,22.12371256,24.60589349,18.5049276,15.45,,,
168,29/08/2019 07:45,22.12070817,24.5895916,18.49158335,15.445,,,
169,29/08/2019 08:00,22.1194665,24.57353689,18.47829049,15.442,,,
170,29/08/2019 08:15,22.11996154,24.55774151,18.46506495,15.439,,,
171,29/08/2019 08:30,22.12203274,24.54221979,18.4519232,15.439,,,
172,29/08/2019 08:45,22.12582905,24.52698873,18.43888271,15.439,,,
173,29/08/2019 09:00,22.13148442,24.51206761,18.42596109,15.439,,,
174,29/08/2019 09:15,22.1391879,20.60777773,18.41317649,15.442,,,
175,29/08/2019 09:30,22.148997,20.59354207,18.4005476,15.445,,,
176,29/08/2019 09:45,22.16104994,20.57968541,18.38809394,15.45,,,
177,29/08/2019 10:00,22.17531205,20.56623416,18.37583581,15.456,,,
178,29/08/2019 10:15,22.19161506,20.55321643,18.36379402,15.463,,,
179,29/08/2019 10:30,22.20945523,20.54066029,18.35199001,15.472,,,
180,29/08/2019 10:45,22.22854434,20.52859194,18.34044647,15.483,,,
181,29/08/2019 11:00,22.24871505,20.51703517,18.32918784,15.496,,,
182,29/08/2019 11:15,22.26986911,20.50601147,18.31823994,15.51,,,
183,29/08/2019 11:30,22.29190885,20.49553923,18.30762893,15.525,,,
184,29/08/2019 11:45,22.31493194,20.48563242,18.29737958,15.54,,,
185,29/08/2019 12:00,22.33917273,20.47630046,18.28751539,15.558,,,
186,29/08/2019 12:15,22.36483711,20.46754958,18.27805853,15.576,,,
187,29/08/2019 12:30,22.39197774,20.45938568,18.26903013,15.596,,,
188,29/08/2019 12:45,22.4203162,20.45181686,18.26045047,15.617,,,
189,29/08/2019 13:00,22.44924335,20.44485357,18.25233891,15.639,,,
190,29/08/2019 13:15,22.47812158,20.43850687,18.24471369,15.662,,,
191,29/08/2019 13:30,22.50629834,20.43278523,18.23759246,15.687,,,
192,29/08/2019 13:45,22.53338168,20.4276922,18.23099261,15.713,,,
193,29/08/2019 14:00,22.55901179,20.42322533,18.22493124,15.74,,,
194,29/08/2019 14:15,22.58263601,20.41937446,18.21942417,15.767,,,
195,29/08/2019 14:30,22.60389841,20.41612022,18.21448472,15.794,,,
196,29/08/2019 14:45,22.62268791,20.41343456,18.21012212,15.82,,,
197,29/08/2019 15:00,22.63889148,20.41128204,18.20634019,15.845,,,
198,29/08/2019 15:15,22.65250591,20.40962163,18.20313791,15.871,,,
199,29/08/2019 15:30,22.6635271,20.4084082,18.20050965,15.895,,,
200,29/08/2019 15:45,22.67213409,20.40759445,18.19844446,15.917,,,
201,29/08/2019 16:00,22.67843502,20.4071323,18.1969259,15.938,,,
202,29/08/2019 16:15,22.68257722,20.40697348,18.19593275,15.958,,,
203,29/08/2019 16:30,22.68471693,20.40706996,18.19543968,15.976,,,
204,29/08/2019 16:45,22.6849283,20.40737395,18.19541862,15.994,,,
205,29/08/2019 17:00,22.68330412,20.40783818,18.195839,16.009,,,
206,29/08/2019 17:15,22.68001562,20.40841741,18.19666853,16.024,,,
207,29/08/2019 17:30,22.6750049,20.40906899,18.19787307,16.036,,,
208,29/08/2019 17:45,22.66835202,20.40975311,18.19941735,16.048,,,
209,29/08/2019 18:00,22.66008953,20.41043279,18.20126605,16.059,,,
210,29/08/2019 18:15,22.65030107,20.41107366,18.20338469,16.069,,,
211,29/08/2019 18:30,22.63905568,20.41164347,18.20573935,16.077,,,
212,29/08/2019 18:45,22.62658506,20.41211221,18.20829579,16.083,,,
213,29/08/2019 19:00,22.61321369,20.41245352,18.21101975,16.089,,,
214,29/08/2019 19:15,22.59919679,20.41264594,18.2138773,16.093,,,
215,29/08/2019 19:30,22.5845528,20.41267222,18.21683504,16.096,,,
216,29/08/2019 19:45,22.56943572,20.41251836,18.21986052,16.098,,,
217,29/08/2019 20:00,22.5539992,20.41217345,18.22292255,16.099,,,
218,29/08/2019 20:15,22.53832816,20.41162985,18.2259915,16.099,,,
219,29/08/2019 20:30,22.5224853,20.41088306,18.2290399,16.099,,,
220,29/08/2019 20:45,22.50650984,20.40993134,18.23204287,16.098,,,
221,29/08/2019 21:00,22.49044367,20.40877504,18.23497774,16.096,,,
222,29/08/2019 21:15,22.47432506,20.407416,18.23782355,16.093,,,
223,29/08/2019 21:30,22.45828357,20.4058579,18.24056107,16.09,,,
224,29/08/2019 21:45,22.44229547,20.40410607,18.24317282,16.086,,,
225,29/08/2019 22:00,22.42634263,20.40216697,18.24564272,16.081,,,
226,29/08/2019 22:15,22.41045196,20.4000477,18.2479568,16.077,,,
227,29/08/2019 22:30,22.39467294,20.39775592,18.25010342,16.072,,,
228,29/08/2019 22:45,22.37892009,20.39529892,18.25207274,16.066,,,
229,29/08/2019 23:00,22.3632405,20.39268313,18.25385628,16.06,,,
230,29/08/2019 23:15,22.3475801,20.38991369,18.25544703,16.054,,,
231,29/08/2019 23:30,22.33188596,20.38699405,18.25683977,16.048,,,
232,29/08/2019 23:45,22.31619821,20.38392629,18.25803057,16.041,,,
233,30/08/2019 00:00,22.30050931,20.38071163,18.25901581,16.033,,,
234,30/08/2019 00:15,22.28467182,20.37734974,18.25979231,16.026,,,
235,30/08/2019 00:30,22.2686634,20.37383828,18.26035747,16.018,,,
236,30/08/2019 00:45,22.25263317,20.37017407,18.26070862,16.009,,,
237,30/08/2019 01:00,22.23662531,20.36635454,18.26084401,16.002,,,
238,30/08/2019 01:15,22.22070542,20.36237868,18.26076269,15.993,,,
239,30/08/2019 01:30,22.20483027,20.35824713,18.26046394,15.984,,,
240,30/08/2019 01:45,22.18891038,20.35396115,18.25994717,15.975,,,
241,30/08/2019 02:00,22.17290215,20.34952144,18.25921096,15.964,,,
242,30/08/2019 02:15,22.15694187,20.34492817,18.25825382,15.955,,,
243,30/08/2019 02:30,22.14115487,20.34018175,18.25707425,15.944,,,
244,30/08/2019 02:45,22.12560947,20.33528339,18.25567173,15.935,,,
245,30/08/2019 03:00,22.11037135,20.33023525,18.2540471,15.925,,,
246,30/08/2019 03:15,22.09550872,20.32504084,18.25220161,15.914,,,
247,30/08/2019 03:30,22.08118299,20.31970604,28.25013691,15.904,,,
248,30/08/2019 03:45,22.06737078,20.31423906,28.24785475,15.893,,,
249,30/08/2019 04:00,22.0540802,20.30864929,28.24535747,15.883,,,
250,30/08/2019 04:15,22.04143328,20.30294628,18.24264788,15.872,,,
251,30/08/2019 04:30,22.0295814,20.29714006,18.23972951,15.862,,,
252,30/08/2019 04:45,22.01857337,20.29124155,18.23660634,15.851,,,
253,30/08/2019 05:00,22.0084982,20.28526274,18.23328296,15.841,,,
254,30/08/2019 05:15,21.99947252,20.27921692,18.2297654,15.832,,,
255,30/08/2019 05:30,21.99177827,20.27311955,18.22606143,15.823,,,
256,30/08/2019 05:45,21.98560134,20.2669889,18.2221801,15.814,,,
257,30/08/2019 06:00,21.98091852,20.26084463,18.21813102,15.805,,,
258,30/08/2019 06:15,21.97780355,20.25470614,18.21392424,15.797,,,
259,30/08/2019 06:30,21.97654596,20.24859325,18.20957093,15.79,,,
260,30/08/2019 06:45,21.97722176,20.2425276,18.20508391,15.784,,,
261,30/08/2019 07:00,21.97978783,20.2365331,18.20047799,15.779,,,
262,30/08/2019 07:15,21.98425338,20.23063602,18.19576991,15.775,,,
263,30/08/2019 07:30,21.99048488,20.22486425,18.19097811,15.772,,,
264,30/08/2019 07:45,21.99852342,20.219246,18.18612237,15.77,,,
265,30/08/2019 08:00,22.00855861,20.21380881,18.18122346,15.769,,,
266,30/08/2019 08:15,22.02089355,20.2085795,18.17630342,15.77,,,
267,30/08/2019 08:30,22.03590966,20.20358538,18.1713856,15.772,,,
268,30/08/2019 08:45,22.05357325,20.19885541,18.16649428,15.775,,,
269,30/08/2019 09:00,22.07377621,20.19442159,18.16165523,15.781,,,
270,30/08/2019 09:15,22.09613804,20.19031878,18.1568953,15.787,,,
271,30/08/2019 09:30,22.12007051,20.1865827,18.15224261,15.796,,,
272,30/08/2019 09:45,22.14492916,20.1832472,18.14772639,15.806,,,
273,30/08/2019 10:00,22.1702822,20.18034168,18.14337685,15.818,,,
274,30/08/2019 10:15,22.19608366,20.17788976,18.13922397,15.83,,,
275,30/08/2019 10:30,22.22228283,20.17590822,18.13529739,15.845,,,
276,30/08/2019 10:45,22.24893276,20.17440732,18.13162591,15.86,,,
277,30/08/2019 11:00,22.27654167,20.17339611,18.12823728,15.877,,,
278,30/08/2019 11:15,22.30505313,20.17288548,18.12515815,15.895,,,
279,30/08/2019 11:30,22.33421283,20.17288523,18.12241212,15.911,,,
280,30/08/2019 11:45,22.36370293,20.17339895,18.12002021,15.931,,,
281,30/08/2019 12:00,22.39320074,20.17442154,18.1180011,15.95,,,
282,30/08/2019 12:15,22.42219638,20.17594027,18.11637114,15.97,,,
