Plot Title: hobo11,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature1)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature2)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature3)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065777),Arrêté (LGR S/N: 21065777),Fin de fichier (LGR S/N: 21065777)
92,2009/10/24 15:45,15.685,15.757,15.883,15.958,,,
93,2009/10/24 16:00,15.684,15.757,15.883,15.952,,,
94,2009/10/24 16:15,15.682,15.749,15.879,15.947,,,
95,2009/10/24 16:30,15.682,15.739,15.876,15.943,,,
96,2009/10/24 16:45,15.681,15.728,15.877,15.939,,,
97,2009/10/24 17:00,15.682,15.733,15.863,15.934,,,
98,2009/10/24 17:15,15.679,15.742,15.868,15.93,,,
99,2009/10/24 17:30,15.672,15.734,15.863,15.924,,,
100,2009/10/24 17:45,15.672,15.728,15.87,15.919,,,
101,2009/10/24 18:00,15.672,15.73,15.864,15.916,,,
102,2009/10/24 18:15,15.669,15.719,15.863,15.912,,,
103,2009/10/24 18:30,15.667,15.682,15.849,15.907,,,
104,2009/10/24 18:45,15.664,15.675,15.848,15.901,,,
105,2009/10/24 19:00,15.663,15.673,15.848,15.898,,,
106,2009/10/24 19:15,15.66,15.676,15.843,15.894,,,
107,2009/10/24 19:30,15.658,15.676,15.837,15.889,,,
108,2009/10/24 19:45,15.655,15.678,15.834,15.885,,,
109,2009/10/24 20:00,15.654,15.673,15.83,15.882,,,
110,2009/10/24 20:15,15.651,15.669,15.827,15.877,,,
111,2009/10/24 20:30,15.649,15.676,15.825,15.873,,,
112,2009/10/24 20:45,15.648,15.688,15.825,15.868,,,
113,2009/10/24 21:00,15.649,15.701,15.83,15.867,,,
114,2009/10/24 21:15,15.649,15.699,15.828,15.863,,,
115,2009/10/24 21:30,15.648,15.693,15.825,15.86,,,
116,2009/10/24 21:45,15.646,15.693,15.822,15.857,,,
117,2009/10/24 22:00,15.649,15.69,15.818,15.852,,,
118,2009/10/24 22:15,15.649,15.682,15.816,15.849,,,
119,2009/10/24 22:30,15.649,15.675,15.813,15.846,,,
120,2009/10/24 22:45,15.649,15.676,15.809,15.843,,,
121,2009/10/24 23:00,15.649,15.676,15.804,15.839,,,
122,2009/10/24 23:15,15.649,15.672,15.8,15.836,,,
123,2009/10/24 23:30,15.649,15.672,15.797,15.833,,,
124,2009/10/24 23:45,15.651,15.67,15.794,15.828,,,
125,2009/11/24 0:00,15.652,15.666,15.794,15.825,,,
126,2009/11/24 0:15,15.654,15.669,15.791,15.824,,,
127,2009/11/24 0:30,15.655,15.67,15.788,15.819,,,
128,2009/11/24 0:45,15.657,15.667,15.785,15.816,,,
129,2009/11/24 1:00,15.66,15.666,15.782,15.813,,,
130,2009/11/24 1:15,15.661,15.664,15.779,15.81,,,
131,2009/11/24 1:30,15.663,15.664,15.776,15.807,,,
132,2009/11/24 1:45,15.663,15.66,15.775,15.804,,,
133,2009/11/24 2:00,15.663,15.661,15.772,15.801,,,
134,2009/11/24 2:15,15.663,15.654,15.758,15.8,,,
135,2009/11/24 2:30,15.663,15.642,15.757,15.797,,,
136,2009/11/24 2:45,15.661,15.648,15.755,15.792,,,
137,2009/11/24 3:00,15.661,15.637,15.754,15.792,,,
138,2009/11/24 3:15,15.658,15.639,15.751,15.788,,,
139,2009/11/24 3:30,15.657,15.649,15.749,15.785,,,
140,2009/11/24 3:45,15.655,15.643,15.748,15.782,,,
141,2009/11/24 4:00,15.657,15.649,15.758,15.772,,,
142,2009/11/24 4:15,15.651,15.648,15.739,15.779,,,
143,2009/11/24 4:30,15.645,15.637,15.742,15.776,,,
144,2009/11/24 4:45,15.642,15.64,15.748,15.773,,,
145,2009/11/24 5:00,15.637,15.642,15.752,15.772,,,
146,2009/11/24 5:15,15.631,15.643,15.749,15.77,,,
147,2009/11/24 5:30,15.625,15.637,15.748,15.767,,,
148,2009/11/24 5:45,15.618,15.634,15.745,15.764,,,
149,2009/11/24 6:00,15.609,15.628,15.736,15.761,,,
150,2009/11/24 6:15,15.6,15.628,15.739,15.76,,,
151,2009/11/24 6:30,15.59,15.627,15.736,15.758,,,
152,2009/11/24 6:45,15.576,15.599,15.728,15.755,,,
153,2009/11/24 7:00,15.561,15.608,15.727,15.752,,,
154,2009/11/24 7:15,15.548,15.609,15.727,15.751,,,
155,2009/11/24 7:30,15.533,15.603,15.728,15.748,,,
156,2009/11/24 7:45,15.52,15.597,15.725,15.746,,,
157,2009/11/24 8:00,15.503,15.557,15.718,15.743,,,
158,2009/11/24 8:15,15.485,15.569,15.706,15.74,,,
159,2009/11/24 8:30,15.476,15.581,15.704,15.737,,,
160,2009/11/24 8:45,15.46,15.542,15.69,15.736,,,
161,2009/11/24 9:00,15.443,15.508,15.687,15.733,,,
162,2009/11/24 9:15,15.431,15.54,15.69,15.728,,,
163,2009/11/24 9:30,15.417,15.525,15.655,15.727,,,
