"Titre de tracé : Hobo33"
"#","Date Heure, GMT+02:00","Tension, V (LGR S/N: 10117169, SEN S/N: 10117169)","Temp., °C (LGR S/N: 10117169, SEN S/N: 10117169)"
120,07/24/15 07:45:00 PM,0.57753,17.748
121,07/24/15 08:00:00 PM,0.57753,17.724
122,07/24/15 08:15:00 PM,0.57753,17.724
123,07/24/15 08:30:00 PM,0.57692,17.701
124,07/24/15 08:45:00 PM,0.57753,17.701
125,07/24/15 09:00:00 PM,0.57692,17.677
126,07/24/15 09:15:00 PM,0.57692,17.677
127,07/24/15 09:30:00 PM,0.57692,17.677
128,07/24/15 09:45:00 PM,0.57692,17.677
129,07/24/15 10:00:00 PM,0.57692,17.677
130,07/24/15 10:15:00 PM,0.57692,17.653
131,07/24/15 10:30:00 PM,0.57692,17.653
132,07/24/15 10:45:00 PM,0.57692,17.629
133,07/24/15 11:00:00 PM,0.57692,17.629
134,07/24/15 11:15:00 PM,0.57692,17.629
135,07/24/15 11:30:00 PM,0.57631,17.629
136,07/24/15 11:45:00 PM,0.57692,17.629
137,07/25/15 12:00:00 AM,0.57631,17.629
138,07/25/15 12:15:00 AM,0.57631,17.653
139,07/25/15 12:30:00 AM,0.57631,17.653
140,07/25/15 12:45:00 AM,0.57631,17.653
141,07/25/15 01:00:00 AM,0.57631,17.629
142,07/25/15 01:15:00 AM,0.57631,17.629
143,07/25/15 01:30:00 AM,0.57631,17.605
144,07/25/15 01:45:00 AM,0.57631,17.605
145,07/25/15 02:00:00 AM,0.57570,17.582
146,07/25/15 02:15:00 AM,0.57570,17.582
147,07/25/15 02:30:00 AM,0.57570,17.582
148,07/25/15 02:45:00 AM,0.57570,17.558
149,07/25/15 03:00:00 AM,0.57570,17.534
150,07/25/15 03:15:00 AM,0.57570,17.510
151,07/25/15 03:30:00 AM,0.57570,17.486
152,07/25/15 03:45:00 AM,0.57570,17.463
153,07/25/15 04:00:00 AM,0.57570,17.439
154,07/25/15 04:15:00 AM,0.57570,17.415
155,07/25/15 04:30:00 AM,0.57509,17.391
156,07/25/15 04:45:00 AM,0.57509,17.368
157,07/25/15 05:00:00 AM,0.57509,17.320
158,07/25/15 05:15:00 AM,0.57509,17.272
159,07/25/15 05:30:00 AM,0.57509,17.225
160,07/25/15 05:45:00 AM,0.57509,17.177
161,07/25/15 06:00:00 AM,0.57509,17.130
162,07/25/15 06:15:00 AM,0.57509,17.058
163,07/25/15 06:30:00 AM,0.57509,17.034
164,07/25/15 06:45:00 AM,0.57509,16.987
165,07/25/15 07:00:00 AM,0.57509,16.963
166,07/25/15 07:15:00 AM,0.57509,16.915
167,07/25/15 07:30:00 AM,0.57509,16.868
168,07/25/15 07:45:00 AM,0.57509,16.820
169,07/25/15 08:00:00 AM,0.57509,16.796
170,07/25/15 08:15:00 AM,0.57509,16.749
171,07/25/15 08:30:00 AM,0.57509,16.725
172,07/25/15 08:45:00 AM,0.57509,16.677
173,07/25/15 09:00:00 AM,0.57509,16.701
174,07/25/15 09:15:00 AM,0.57509,16.677
175,07/25/15 09:30:00 AM,0.57509,16.630
176,07/25/15 09:45:00 AM,0.57509,16.534
177,07/25/15 10:00:00 AM,0.57448,16.654
178,07/25/15 10:15:00 AM,0.57448,16.582
179,07/25/15 10:30:00 AM,0.57448,16.463
180,07/25/15 10:45:00 AM,0.57448,16.463
181,07/25/15 11:00:00 AM,0.57448,16.558
182,07/25/15 11:15:00 AM,0.57448,16.511
183,07/25/15 11:30:00 AM,0.57448,16.630
184,07/25/15 11:45:00 AM,0.57448,16.677
185,07/25/15 12:00:00 PM,0.57448,16.534
186,07/25/15 12:15:00 PM,0.57448,16.582
187,07/25/15 12:30:00 PM,0.57387,16.606
188,07/25/15 12:45:00 PM,0.57387,16.534
189,07/25/15 01:00:00 PM,0.57387,16.701
