Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
92,2009/10/24 14:45,15.403,15.721,15.936,16.043,,,
93,2009/10/24 15:00,15.378,15.718,15.93,16.037,,,
94,2009/10/24 15:15,15.366,15.715,15.925,16.031,,,
95,2009/10/24 15:30,15.364,15.712,15.919,16.025,,,
96,2009/10/24 15:45,15.381,15.71,15.913,16.019,,,
97,2009/10/24 16:00,15.399,15.707,15.909,16.015,,,
98,2009/10/24 16:15,15.375,15.706,15.904,16.009,,,
99,2009/10/24 16:30,15.408,15.704,15.9,16.004,,,
100,2009/10/24 16:45,15.367,15.701,15.895,16,,,
101,2009/10/24 17:00,15.36,15.7,15.891,15.994,,,
102,2009/10/24 17:15,15.37,15.697,15.886,15.989,,,
103,2009/10/24 17:30,15.355,15.694,15.882,15.985,,,
104,2009/10/24 17:45,15.355,15.691,15.877,15.98,,,
105,2009/10/24 18:00,15.358,15.69,15.873,15.976,,,
106,2009/10/24 18:15,15.366,15.687,15.87,15.971,,,
107,2009/10/24 18:30,15.376,15.685,15.865,15.967,,,
108,2009/10/24 18:45,15.382,15.684,15.863,15.962,,,
109,2009/10/24 19:00,15.379,15.682,15.858,15.958,,,
110,2009/10/24 19:15,15.411,15.679,15.855,15.953,,,
111,2009/10/24 19:30,15.382,15.678,15.851,15.95,,,
112,2009/10/24 19:45,15.44,15.676,15.848,15.946,,,
113,2009/10/24 20:00,15.439,15.675,15.845,15.942,,,
114,2009/10/24 20:15,15.437,15.675,15.842,15.939,,,
115,2009/10/24 20:30,15.443,15.672,15.837,15.936,,,
116,2009/10/24 20:45,15.429,15.672,15.834,15.931,,,
117,2009/10/24 21:00,15.44,15.67,15.831,15.928,,,
118,2009/10/24 21:15,15.44,15.669,15.828,15.924,,,
119,2009/10/24 21:30,15.405,15.667,15.825,15.921,,,
120,2009/10/24 21:45,15.37,15.666,15.822,15.916,,,
121,2009/10/24 22:00,15.372,15.661,15.819,15.913,,,
122,2009/10/24 22:15,15.375,15.657,15.816,15.91,,,
123,2009/10/24 22:30,15.381,15.655,15.813,15.907,,,
124,2009/10/24 22:45,15.382,15.652,15.81,15.903,,,
125,2009/10/24 23:00,15.418,15.649,15.809,15.9,,,
126,2009/10/24 23:15,15.439,15.651,15.806,15.897,,,
127,2009/10/24 23:30,15.405,15.649,15.803,15.894,,,
128,2009/10/24 23:45,15.415,15.649,15.8,15.891,,,
129,2009/11/24 0:00,15.423,15.648,15.797,15.886,,,
130,2009/11/24 0:15,15.427,15.648,15.795,15.883,,,
131,2009/11/24 0:30,15.43,15.648,15.792,15.88,,,
132,2009/11/24 0:45,15.434,15.648,15.791,15.877,,,
133,2009/11/24 1:00,15.443,15.648,15.788,15.874,,,
134,2009/11/24 1:15,15.491,15.648,15.786,15.873,,,
135,2009/11/24 1:30,15.497,15.649,15.785,15.87,,,
136,2009/11/24 1:45,15.5,15.651,15.782,15.867,,,
137,2009/11/24 2:00,15.499,15.652,15.781,15.864,,,
138,2009/11/24 2:15,15.499,15.652,15.779,15.861,,,
139,2009/11/24 2:30,15.494,15.652,15.778,15.86,,,
140,2009/11/24 2:45,15.469,15.654,15.776,15.857,,,
141,2009/11/24 3:00,15.412,15.652,15.776,15.854,,,
